Reference_ID,Name,Severity,Category,Resource_Type,Description,File_Path
AC_K8S_0132,loopbackAddressUsed,LOW,Infrastructure Security,kubernetes_endpoint_slice,Ensure endpoint slice is not created or updated with loopback addresses as this acts as an attack vector for exploiting CVE-2021-25737 by an authorized user,pkg\policies\opa\rego\k8s\kubernetes_endpoint_slice\AC_K8S_0113.json
AC_K8S_0002,noHttps,MEDIUM,Infrastructure Security,kubernetes_ingress,TLS disabled can affect the confidentiality of the data in transit,pkg\policies\opa\rego\k8s\kubernetes_ingress\AC-K8-NS-IN-H-0020.json
AC_K8S_0013,noOwnerLabel,LOW,Security Best Practices,kubernetes_namespace,No owner for namespace affects the operations,pkg\policies\opa\rego\k8s\kubernetes_namespace\AC-K8-OE-NS-L-0128.json
AC_K8S_0085,privilegeEscalationCheck,HIGH,Compliance Validation,kubernetes_pod,Containers Should Not Run with AllowPrivilegeEscalation,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-CA-PO-H-0165.json
AC_K8S_0130,disAllowedVolumes,MEDIUM,Data Protection,kubernetes_pod,"Vulnerable to CVE-2020-8555 (affected version of kube-controller-manager: v1.18.0, v1.17.0 - v1.17.4, v1.16.0 - v1.16.8, and v1.15.11",pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-DS-PO-M-0143.json
AC_K8S_0067,kubeDashboardEnabled,MEDIUM,Data Protection,kubernetes_pod,Ensure Kubernetes Dashboard Is Not Deployed,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-DS-PO-M-0176.json
AC_K8S_0071,tillerDeployed,MEDIUM,Data Protection,kubernetes_pod,Ensure That Tiller (Helm V2) Is Not Deployed,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-DS-PO-M-0177.json
AC_K8S_0046,privilegedContainersEnabled,HIGH,Identity and Access Management,kubernetes_pod,Minimize the admission of privileged containers,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-H-0106.json
AC_K8S_0074,disallowedSysCalls,MEDIUM,Identity and Access Management,kubernetes_pod,Allowing the pod to make system level calls provide access to host/node sensitive information,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-H-0137.json
AC_K8S_0076,allowedHostPath,HIGH,Identity and Access Management,kubernetes_pod,Allowing hostPaths to mount to Pod arise the probability of getting access to the node's filesystem,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-H-0138.json
AC_K8S_0087,runAsNonRootCheck,HIGH,Identity and Access Management,kubernetes_pod,Minimize Admission of Root Containers,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-H-0168.json
AC_K8S_0045,autoMountTokenEnabled,MEDIUM,Identity and Access Management,kubernetes_pod,Ensure that Service Account Tokens are only mounted where necessary,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0105.json
AC_K8S_0073,appArmorProfile,MEDIUM,Identity and Access Management,kubernetes_pod,AppArmor profile not set to default or custom profile will make the container vulnerable to kernel level threats,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0135.json
AC_K8S_0077,allowedProcMount,MEDIUM,Identity and Access Management,kubernetes_pod,Unmasking the procMount will allow more information than is necessary to the program running in the containers spawned by k8s,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0139.json
AC_K8S_0078,readOnlyFileSystem,MEDIUM,Identity and Access Management,kubernetes_pod,Container images with readOnlyRootFileSystem set as false mounts the container root file system with write permissions,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0140.json
AC_K8S_0080,secCompProfile,MEDIUM,Identity and Access Management,kubernetes_pod,Default seccomp profile not enabled will make the container to make non-essential system calls,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0141.json
AC_K8S_0081,allowedVolumes,MEDIUM,Identity and Access Management,kubernetes_pod,"Some volume types mount the host file system paths to the pod or container, thus increasing the chance of escaping the container to access the host",pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0143.json
AC_K8S_0082,falseHostPID,MEDIUM,Identity and Access Management,kubernetes_pod,Containers Should Not Share Host Process ID Namespace,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PO-M-0162.json
AC_K8S_0048,netRawCapabilityUsed,MEDIUM,Identity and Access Management,kubernetes_pod,Minimize the admission of containers with the NET_RAW capability,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-IA-PS-M-0112.json
AC_K8S_0051,secretsAsEnvVariables,HIGH,Infrastructure Security,kubernetes_pod,Prefer using secrets as files over secrets as environment variables,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-H-0117.json
AC_K8S_0075,capSysAdminUsed,MEDIUM,Infrastructure Security,kubernetes_pod,Do Not Use CAP_SYS_ADMIN Linux Capability,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-H-0170.json
AC_K8S_0064,securityContextUsed,MEDIUM,Infrastructure Security,kubernetes_pod,Apply Security Context to Your Pods and Containers,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-M-0122.json
AC_K8S_0069,imageWithoutDigest,MEDIUM,Infrastructure Security,kubernetes_pod,Image without digest affects the integrity principle of image security,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-M-0133.json
AC_K8S_0083,falseHostIPC,MEDIUM,Infrastructure Security,kubernetes_pod,Containers Should Not Share Host IPC Namespace,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-M-0163.json
AC_K8S_0084,falseHostNetwork,MEDIUM,Infrastructure Security,kubernetes_pod,Containers Should Not Share the Host Network Namespace,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-M-0164.json
AC_K8S_0088,dontConnectDockerSock,MEDIUM,Infrastructure Security,kubernetes_pod,Restrict Mounting Docker Socket in a Container,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-M-0171.json
AC_K8S_0079,containersAsHighUID,MEDIUM,Infrastructure Security,kubernetes_pod,Containers Should Run as a High UID to Avoid Host Conflict,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-NS-PO-M-0182.json
AC_K8S_0021,alwaysPullImages,MEDIUM,Compliance Validation,kubernetes_pod,AlwaysPullImages plugin is not set,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PK-M-0034.json
AC_K8S_0097,CpuRequestsCheck,MEDIUM,Security Best Practices,kubernetes_pod,CPU Request Not Set in config file.,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PK-M-0155.json
AC_K8S_0098,CpulimitsCheck,MEDIUM,Security Best Practices,kubernetes_pod,CPU Limits Not Set in config file.,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PK-M-0156.json
AC_K8S_0099,MemoryRequestsCheck,MEDIUM,Security Best Practices,kubernetes_pod,Memory Request Not Set in config file.,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PK-M-0157.json
AC_K8S_0100,MemorylimitsCheck,MEDIUM,Security Best Practices,kubernetes_pod,Memory Limits Not Set in config file.,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PK-M-0158.json
AC_K8S_0070,nolivenessProbe,LOW,Security Best Practices,kubernetes_pod,No liveness probe will ensure there is no recovery in case of unexpected errors,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PO-L-0129.json
AC_K8S_0072,noReadinessProbe,LOW,Security Best Practices,kubernetes_pod,No readiness probe will affect automatic recovery in case of unexpected errors,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PO-L-0130.json
AC_K8S_0068,imageWithLatestTag,LOW,Security Best Practices,kubernetes_pod,No tag or container image with :Latest tag makes difficult to rollback and track,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PO-L-0134.json
AC_K8S_0086,otherNamespace,HIGH,Security Best Practices,kubernetes_pod,Default Namespace Should Not be Used,pkg\policies\opa\rego\k8s\kubernetes_pod\AC-K8-OE-PO-M-0166.json
AC_K8S_0050,allowedCustomSnippetAnnotations,HIGH,Configuration and Vulnerability Analysis,kubernetes_deployment,CVE-2021-25742: Ingress-nginx with custom snippets allows retrieval of ingress-nginx serviceaccount token and secrets across all namespaces.,pkg\policies\opa\rego\k8s\kubernetes_pod\AC_K8S_0051.json
AC_K8S_0050,allowedCustomSnippetAnnotationsWithWrongVersion,HIGH,Configuration and Vulnerability Analysis,kubernetes_deployment,CVE-2021-25742: Ingress-nginx with custom snippets with a version that does not support mitigation and allows retrieval of ingress-nginx serviceaccount token and secrets across all namespaces.,pkg\policies\opa\rego\k8s\kubernetes_pod\AC_K8_0050.json
AC_K8S_0113,defaultServiceAccountUsed,HIGH,Identity and Access Management,kubernetes_role,Ensure that default service accounts are not actively used in Kubernetes Role,pkg\policies\opa\rego\k8s\kubernetes_role\AC-K8-IA-RO-H-0104.json
AC_K8S_0110,tillerServiceDeleted,MEDIUM,Infrastructure Security,kubernetes_service,Ensure that the Tiller Service (Helm v2) is deleted,pkg\policies\opa\rego\k8s\kubernetes_service\AC-K8-NS-SE-M-0185.json
AC_K8S_0111,nodePort,LOW,Infrastructure Security,kubernetes_service,Nodeport service can expose the worker nodes as they have public interface,pkg\policies\opa\rego\k8s\kubernetes_service\AC-K8-NS-SV-L-0132.json
AC_K8S_0112,ensurePrivateIP,MEDIUM,Infrastructure Security,kubernetes_service,"Vulnerable to CVE-2020-8554, restrict the use of externalIPs",pkg\policies\opa\rego\k8s\kubernetes_service\AC_K8S_0112.json
AC_K8S_0114,ensureServiceWithSelector,LOW,Infrastructure Security,kubernetes_service,Ensure the use of selector is enforced for Kubernetes Ingress or LoadBalancer service,pkg\policies\opa\rego\k8s\kubernetes_service\AC_K8S_0114.json
